"from_index","to_index","from_id","to_id","edge_dissimilarity","boundary_prob","w_posterior","boundary_median"
184,188,"46720","46790",0.637411267405338,0,1,0
187,188,"46780","46790",0.206221292395846,0,1,0
187,189,"46780","46800",1.11546971795934,0,1,0
188,189,"46790","46800",0.909248425563498,0,1,0
189,190,"46800","46810",0.103110646197922,0,1,0
190,191,"46810","46820",1.27482253481068,0.00360000000000005,1,0
178,192,"46110","46830",0.0656158657623146,0,1,0
181,192,"46170","46830",0.796764084256674,0,1,0
188,192,"46790","46830",0.0281210853267072,0,1,0
189,192,"46800","46830",0.937369510890205,0,1,0
190,192,"46810","46830",1.04048015708813,0,1,0
191,192,"46820","46830",0.234342377722551,0,1,0
178,193,"46110","46840",1.3498120956819,0.0212,1,0
181,193,"46170","46840",0.487432145662906,0,1,0
192,193,"46830","46840",1.28419622991958,0.00380000000000003,1,0
61,194,"29200","46860",0.299958243484868,0,1,0
181,194,"46170","46860",0.0187473902178054,0,1,0
193,194,"46840","46860",0.468684755445101,0,1,0
176,195,"45790","46870",0.543674316316321,0,1,0
194,195,"46860","46870",1.06860124241484,0,1,0
60,196,"29170","46880",0.262463463049255,0,1,0
61,196,"29200","46880",0.215594987504749,0,1,0
167,196,"45180","46880",0.86237995001899,0,1,0
175,196,"45770","46880",0.0187473902178037,0,1,0
176,196,"45790","46880",0.440563670118397,0,1,0
183,196,"46710","46880",0.656158657623143,0,1,0
194,196,"46860","46880",0.0843632559801183,0,1,0
195,196,"46870","46880",0.984237986434718,0,1,0
193,198,"46840","46910",2.02471814352284,0.5063,0,1
197,198,"46900","46910",0.40306888968279,0,1,0
199,200,"47111","47113",0.196847597286946,0,1,0
70,201,"31200","47130",1.00298537665252,0,1,0
71,201,"31710","47130",0.524926926098514,0,1,0
199,201,"47111","47130",0.08436325598012,0,1,0
200,201,"47113","47130",0.112484341306826,0,1,0
141,202,"43740","47150",0.159352816851335,0,1,0
172,202,"45730","47150",1.3779331810086,0.0377999999999999,1,0
202,204,"47150","47190",1.00298537665252,0,1,0
124,205,"42750","47210",0.768642998929969,0,1,0
146,205,"43800","47210",0.965490596216911,0,1,0
203,205,"47170","47210",0.571795401643025,0,1,0
42,206,"27140","47230",1.30294362013739,0.00490000000000002,1,0
200,206,"47113","47230",1.14359080328605,0,1,0
201,206,"47130","47230",1.03110646197923,0,1,0
139,207,"43720","47250",0.665532352732048,0,1,0
140,207,"43730","47250",0.121858036415726,0,1,0
141,207,"43740","47250",0.290584548375964,0,1,0
144,207,"43760","47250",0.00937369510890018,0,1,0
202,207,"47150","47250",0.131231731524629,0,1,0
204,207,"47190","47250",0.871753645127891,0,1,0
137,208,"43130","47280",0.68427974294985,0,1,0
138,208,"43150","47280",0.421816279900595,0,1,0
144,208,"43760","47280",0.665532352732043,0,1,0
146,208,"43800","47280",0.468684755445103,0,1,0
207,208,"47250","47280",0.656158657623143,0,1,0
42,209,"27140","47290",0.49680584077181,0,1,0
46,209,"27260","47290",2.53089767940355,0.5643,0,1
48,209,"27710","47290",0.646784962514241,0,1,0
206,209,"47230","47290",0.806137779365578,0,1,0
42,210,"27140","47720",1.21858036415727,0.00160000000000005,1,0
204,210,"47190","47720",2.04346553374065,0.5074,0,1
206,210,"47230","47720",0.0843632559801217,0,1,0
203,211,"47170","47730",1.94972858265163,0.4955,1,0
204,211,"47190","47730",2.40903964298783,0.5372,0,1
207,211,"47250","47730",1.53728599785994,0.1407,1,0
210,211,"47720","47730",0.365574109247184,0,1,0
200,212,"47113","47750",0.374947804356081,0,1,0
203,212,"47170","47750",0.149979121742433,0,1,0
206,212,"47230","47750",1.51853860764213,0.1268,1,0
210,212,"47720","47750",1.43417535166201,0.0873,1,0
211,212,"47730","47750",1.7997494609092,0.4565,1,0
203,213,"47170","47760",0.0937369510890202,0,1,0
212,213,"47750","47760",0.0562421706534128,0,1,0
