dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
26,115,333,0.0276,0.9580,"(95.75, 155.0]",sigma2_w,0.1888
27,239,701,0.2673,0.5122,"(217.5, 299.0]",sigma2_w,0.6878
28,224,655,0.1862,0.7073,"(217.5, 299.0]",sigma2_w,-1.1452
29,147,427,0.6391,0.0226,"(95.75, 155.0]",sigma2_w,0.5566
30,83,234,0.0119,0.1217,"(39.9999, 95.75]",sigma2_w,0.3336
31,139,401,0.4439,0.7017,"(95.75, 155.0]",sigma2_w,-0.3199
32,110,313,0.1530,0.1140,"(95.75, 155.0]",sigma2_w,-0.2674
33,93,262,0.5013,0.0189,"(39.9999, 95.75]",sigma2_w,-0.9739
34,168,485,0.1341,0.4110,"(155.0, 217.5]",sigma2_w,0.5854
35,71,195,0.2250,0.6321,"(39.9999, 95.75]",sigma2_w,-0.5869
36,97,275,0.4230,0.8448,"(95.75, 155.0]",sigma2_w,0.3995
37,240,701,0.4336,0.7440,"(217.5, 299.0]",sigma2_w,0.1064
38,98,276,0.4911,0.4086,"(95.75, 155.0]",sigma2_w,-0.3818
39,44,119,0.2632,0.2717,"(39.9999, 95.75]",sigma2_w,2.8031
40,184,536,0.5459,0.3698,"(155.0, 217.5]",sigma2_w,1.9200
41,223,653,0.6751,0.1988,"(217.5, 299.0]",sigma2_w,-0.4683
42,213,624,0.0637,0.2080,"(155.0, 217.5]",sigma2_w,-0.1250
43,137,397,0.0461,0.5805,"(95.75, 155.0]",sigma2_w,2.7653
44,198,571,0.4034,0.1210,"(155.0, 217.5]",sigma2_w,1.4325
45,167,488,0.2461,0.3282,"(155.0, 217.5]",sigma2_w,-0.8981
46,114,331,0.4000,0.9472,"(95.75, 155.0]",sigma2_w,-0.4594
47,161,470,0.7358,0.7401,"(155.0, 217.5]",sigma2_w,-0.5957
48,136,393,0.6621,0.7125,"(95.75, 155.0]",sigma2_w,-0.0281
49,215,626,0.4138,0.4943,"(155.0, 217.5]",sigma2_w,-0.4844
50,247,723,0.5872,0.4909,"(217.5, 299.0]",sigma2_w,-0.5242
51,76,214,0.7958,0.9155,"(39.9999, 95.75]",sigma2_w,-0.6332
52,127,368,0.3482,0.6537,"(95.75, 155.0]",sigma2_w,-0.3599
53,104,296,0.2617,0.2123,"(95.75, 155.0]",sigma2_w,0.7325
54,163,474,0.5458,0.1011,"(155.0, 217.5]",sigma2_w,-0.4794
55,137,395,0.2876,0.6566,"(95.75, 155.0]",sigma2_w,-0.1293
56,48,130,0.7707,0.9272,"(39.9999, 95.75]",sigma2_w,-0.5369
57,40,104,0.3572,0.7494,"(39.9999, 95.75]",sigma2_w,-0.3098
58,173,500,0.6417,0.3764,"(155.0, 217.5]",sigma2_w,-0.6278
59,109,314,0.3763,0.7287,"(95.75, 155.0]",sigma2_w,-0.5875
60,274,805,0.5905,0.2661,"(217.5, 299.0]",sigma2_w,-0.3715
