"draw","beta_0","alpha","tau2"
128,0.121267242457165,0.43967125782625,0.0309433261373253
129,0.121267242457165,0.448023104301549,0.0346047688066946
130,0.0933963172764905,0.427838383670594,0.0353704233726442
131,0.0930363997763937,0.452795128725158,0.0315965298202214
132,0.0966921378434279,0.460387418395776,0.0254658301266981
133,0.0980950744055484,0.447990404121558,0.0303776157840615
134,0.1005295525683,0.318911382073856,0.0570017721810256
135,0.110770345671389,0.438726095209919,0.0255869247091571
136,0.110770345671389,0.4425295001971,0.0456014580116837
137,0.105871263089667,0.391756606229179,0.0342206777503801
138,0.112907114243823,0.428849647564201,0.0287222601368788
139,0.105466656439756,0.432942462522535,0.0337235311869979
140,0.120700729393856,0.428206458800244,0.0370465245003123
141,0.120700729393856,0.428953956840975,0.056223913657158
142,0.120700729393856,0.451367700206206,0.0379696136761803
143,0.0784209586922528,0.321607395310084,0.0540144271294661
144,0.102173567064912,0.435458266273211,0.0452617168309804
145,0.0717713800836703,0.435469878147676,0.0265711440386451
146,0.100454720707658,0.437221525053463,0.0393591066097388
147,0.106811277795799,0.449057519158794,0.0256782386648386
148,0.0955169196998696,0.44464490304571,0.0370117399626767
149,0.0555265461611679,0.719384675609185,0.0564329068207215
150,0.100228004196406,0.631309056268101,0.0271629145350502
151,0.0956232874909678,0.709203884607403,0.0240174787104798
152,0.0710194507212374,0.71206043720099,0.0249917767705144
153,0.0766881559707031,0.729005181413049,0.0256500642718508
154,0.0785591015301088,0.712095020862314,0.0243108525126271
155,0.0773514916067315,0.671984125624187,0.016034824643045
156,0.109294649195952,0.689714277643567,0.0174711252668007
157,0.0975158718714318,0.683245625027839,0.014567037456414
158,0.0848650185854751,0.711093602427268,0.0185187187505228
159,0.0945128114477723,0.574759763632317,0.0145851757526123
160,0.0984568544959868,0.671247826741862,0.0256925114844123
161,0.0850707075670179,0.677542018293421,0.0198900236671785
162,0.0876296901881744,0.681037309292067,0.028297526550764
163,0.0915369020514975,0.702117959494577,0.03986223854434
164,0.0911356300604104,0.680686281687728,0.0204396368782636
165,0.0908011218122867,0.676339258492103,0.0252629584906485
166,0.0952858075599032,0.496282535627816,0.024916917980466
167,0.0940614370570441,0.682303459823226,0.0247250709044138
168,0.0838673037456506,0.611660454301308,0.0228489111965854
169,0.0931763152311493,0.722646979901401,0.0231008860853665
170,0.0949189781955861,0.618469894534327,0.0201710584989124
171,0.0913063764274971,0.651527700437604,0.0257524738263629
172,0.0738787607381678,0.710506463129154,0.0300362527085345
173,0.0674961074087725,0.703155244673967,0.0348444259531418
174,0.104602658299747,0.634420338124573,0.0237631956641549
175,0.0983501942102657,0.685300658002657,0.0375824954723456
176,0.101884722297538,0.611880166305102,0.0298916710954989
177,0.0682555153265981,0.604956023827612,0.026409539750265
178,0.0842908222394794,0.624224774268043,0.0369208074743299
179,0.0899853485308227,0.575595359927821,0.0232833204732715
180,0.0891797838893914,0.71683213876999,0.019032617808355
181,0.114785166556541,0.677649654322713,0.0144999939993768
182,0.092304136838518,0.654764286043658,0.0231619329916808
183,0.0963664370157819,0.685125427396187,0.0199261293954276
184,0.07724191111113,0.680998837581458,0.0241872707556396
185,0.117563835209148,0.700615368871497,0.0193284558997544
186,0.0663993101642079,0.698078574047794,0.031255482350681
187,0.0956189589736458,0.591247497433565,0.0366221133256293
188,0.092947460873597,0.726172607945389,0.0197325313334836
189,0.0873713096634464,0.626771860243258,0.0186453126595835
190,0.0939039753836615,0.614783885365147,0.0191078940372067
191,0.101562427419048,0.569817760819381,0.0335939192555839
192,0.090997722529912,0.615024605072958,0.036242674514592
193,0.0997817549454567,0.705240465763359,0.0210636504746116
194,0.0985059759296573,0.724051602216416,0.0271699490303801
195,0.0966459849410615,0.603554287864529,0.0460820625554667
196,0.112101126188324,0.656351415952017,0.0159547552418528
197,0.112101126188324,0.721221316300615,0.0314355710284093
198,0.0936140729335422,0.702496770673147,0.0190095918543854
199,0.101504847769887,0.703627333753621,0.0139778038671368
200,0.0793787510313892,0.716097338525546,0.0280634544274879
201,0.0776976380989834,0.571558941204803,0.0198655171882837
202,0.0876858549744657,0.659420269528889,0.0299218433585453
