experiment,label,batch_index,N,elapsed_sec,datasets_in_batch,num_samples_requested,seconds_per_dataset,seconds_per_1000_draws_per_dataset
00_baseline,Baseline,39,79,1.6285224999301136,50,1000,0.03257044999860227,0.03257044999860227
00_baseline,Baseline,40,80,1.6153868000255898,50,1000,0.032307736000511796,0.032307736000511796
00_baseline,Baseline,41,81,1.6338328000856563,50,1000,0.03267665600171313,0.03267665600171313
00_baseline,Baseline,42,82,1.619854599935934,50,1000,0.03239709199871868,0.03239709199871868
00_baseline,Baseline,43,83,1.635439099976793,50,1000,0.032708781999535856,0.032708781999535856
00_baseline,Baseline,44,84,1.6503872000612319,50,1000,0.03300774400122464,0.03300774400122464
00_baseline,Baseline,45,85,1.7432114001130685,50,1000,0.03486422800226137,0.03486422800226137
00_baseline,Baseline,46,86,1.6935279000317678,50,1000,0.033870558000635355,0.033870558000635355
00_baseline,Baseline,47,87,1.6944011999294162,50,1000,0.033888023998588326,0.033888023998588326
00_baseline,Baseline,48,88,1.707022299990058,50,1000,0.03414044599980116,0.03414044599980116
00_baseline,Baseline,49,89,1.8381413999013603,50,1000,0.03676282799802721,0.03676282799802721
00_baseline,Baseline,50,90,1.7018486000597477,50,1000,0.03403697200119495,0.03403697200119495
00_baseline,Baseline,51,91,1.623360399971716,50,1000,0.032467207999434325,0.032467207999434325
00_baseline,Baseline,52,92,1.6879208999453112,50,1000,0.03375841799890623,0.03375841799890623
00_baseline,Baseline,53,93,1.761569199967198,50,1000,0.03523138399934396,0.03523138399934396
00_baseline,Baseline,54,94,1.6859295999165624,50,1000,0.03371859199833125,0.03371859199833125
00_baseline,Baseline,55,95,1.641159199993126,50,1000,0.032823183999862525,0.032823183999862525
00_baseline,Baseline,56,96,1.6373700000112876,50,1000,0.03274740000022575,0.03274740000022575
00_baseline,Baseline,57,97,1.6438762999605387,50,1000,0.032877525999210774,0.032877525999210774
00_baseline,Baseline,58,98,1.6195408999919891,50,1000,0.03239081799983978,0.03239081799983978
00_baseline,Baseline,59,99,1.6304458000231534,50,1000,0.03260891600046307,0.03260891600046307
00_baseline,Baseline,60,100,1.7095550999511033,50,1000,0.03419110199902207,0.03419110199902207
00_baseline,Baseline,61,101,1.6840438999934122,50,1000,0.03368087799986824,0.03368087799986824
00_baseline,Baseline,62,102,1.7008578999666497,50,1000,0.034017157999333,0.034017157999333
00_baseline,Baseline,63,103,1.702995300060138,50,1000,0.03405990600120276,0.03405990600120276
00_baseline,Baseline,64,104,1.6815311999525875,50,1000,0.03363062399905175,0.03363062399905175
00_baseline,Baseline,65,105,1.7201887000119314,50,1000,0.03440377400023863,0.03440377400023863
00_baseline,Baseline,66,106,1.7174139999551699,50,1000,0.0343482799991034,0.0343482799991034
00_baseline,Baseline,67,107,1.7047636000206694,50,1000,0.03409527200041339,0.03409527200041339
00_baseline,Baseline,68,108,1.7090720999985933,50,1000,0.03418144199997187,0.03418144199997187
00_baseline,Baseline,69,109,1.700922999996692,50,1000,0.03401845999993384,0.03401845999993384
00_baseline,Baseline,70,110,1.7342968999873847,50,1000,0.034685937999747694,0.034685937999747694
00_baseline,Baseline,71,111,1.7531805000035092,50,1000,0.03506361000007018,0.03506361000007018
00_baseline,Baseline,72,112,1.6979958000592887,50,1000,0.03395991600118577,0.03395991600118577
00_baseline,Baseline,73,113,1.702756200102158,50,1000,0.034055124002043156,0.034055124002043156
00_baseline,Baseline,74,114,1.6945654000155628,50,1000,0.03389130800031125,0.03389130800031125
00_baseline,Baseline,75,115,1.7616649999981746,50,1000,0.03523329999996349,0.03523329999996349
00_baseline,Baseline,76,116,1.70029579999391,50,1000,0.0340059159998782,0.0340059159998782
00_baseline,Baseline,77,117,1.6766754999989644,50,1000,0.03353350999997929,0.03353350999997929
00_baseline,Baseline,78,118,1.7239896999672055,50,1000,0.03447979399934411,0.03447979399934411
00_baseline,Baseline,79,119,1.7236648999387398,50,1000,0.0344732979987748,0.0344732979987748
00_baseline,Baseline,80,120,1.7658131000353023,50,1000,0.03531626200070605,0.03531626200070605
01_ablate_core_observation_features,No core observation features,0,40,1.6622914000181481,50,1000,0.033245828000362965,0.033245828000362965
01_ablate_core_observation_features,No core observation features,1,41,1.635689500020817,50,1000,0.03271379000041634,0.03271379000041634
