loss,val_loss,epoch,experiment,label
3.99062705039978,3.1180715560913086,1,03_ablate_dissimilarity_features,No dissimilarity features
2.9846222400665283,2.7552623748779297,2,03_ablate_dissimilarity_features,No dissimilarity features
2.698239803314209,2.165225982666016,3,03_ablate_dissimilarity_features,No dissimilarity features
2.373314142227173,2.138947010040283,4,03_ablate_dissimilarity_features,No dissimilarity features
2.169951200485229,2.016080856323242,5,03_ablate_dissimilarity_features,No dissimilarity features
2.0414888858795166,1.906911015510559,6,03_ablate_dissimilarity_features,No dissimilarity features
1.7919877767562866,1.7250328063964844,7,03_ablate_dissimilarity_features,No dissimilarity features
1.7529726028442385,1.6858595609664917,8,03_ablate_dissimilarity_features,No dissimilarity features
1.5137434005737305,1.483757257461548,9,03_ablate_dissimilarity_features,No dissimilarity features
1.5198076963424685,1.6687613725662231,10,03_ablate_dissimilarity_features,No dissimilarity features
1.418845772743225,1.711893081665039,11,03_ablate_dissimilarity_features,No dissimilarity features
1.3546165227890017,1.3554810285568235,12,03_ablate_dissimilarity_features,No dissimilarity features
1.3035707473754885,1.2614777088165283,13,03_ablate_dissimilarity_features,No dissimilarity features
1.1978108882904053,1.3399308919906616,14,03_ablate_dissimilarity_features,No dissimilarity features
1.2186994552612305,1.1181871891021729,15,03_ablate_dissimilarity_features,No dissimilarity features
1.162589192390442,1.2476818561553955,16,03_ablate_dissimilarity_features,No dissimilarity features
1.1115778684616089,1.1937791109085083,17,03_ablate_dissimilarity_features,No dissimilarity features
1.0090456008911133,1.0012801885604858,18,03_ablate_dissimilarity_features,No dissimilarity features
1.0189892053604126,1.0901347398757937,19,03_ablate_dissimilarity_features,No dissimilarity features
0.8849800825119019,0.9676426649093628,20,03_ablate_dissimilarity_features,No dissimilarity features
0.8821929693222046,0.9157635569572448,21,03_ablate_dissimilarity_features,No dissimilarity features
0.8011799454689026,0.9794526100158693,22,03_ablate_dissimilarity_features,No dissimilarity features
0.7612795233726501,0.8878957629203796,23,03_ablate_dissimilarity_features,No dissimilarity features
0.7398338317871094,0.8178571462631226,24,03_ablate_dissimilarity_features,No dissimilarity features
0.6978265643119812,0.9497196674346924,25,03_ablate_dissimilarity_features,No dissimilarity features
0.630230188369751,0.7626147866249084,26,03_ablate_dissimilarity_features,No dissimilarity features
0.5877037644386292,0.7691565155982971,27,03_ablate_dissimilarity_features,No dissimilarity features
0.5499776601791382,0.8757888674736023,28,03_ablate_dissimilarity_features,No dissimilarity features
0.5085879564285278,0.7132220268249512,29,03_ablate_dissimilarity_features,No dissimilarity features
0.4669508635997772,0.9514347314834596,30,03_ablate_dissimilarity_features,No dissimilarity features
0.4526455402374267,0.6790528297424316,31,03_ablate_dissimilarity_features,No dissimilarity features
0.4221650958061218,0.7483348846435547,32,03_ablate_dissimilarity_features,No dissimilarity features
0.3808185458183288,0.6358798742294312,33,03_ablate_dissimilarity_features,No dissimilarity features
0.3756307661533355,0.6429977416992188,34,03_ablate_dissimilarity_features,No dissimilarity features
0.3334943354129791,0.6094862818717957,35,03_ablate_dissimilarity_features,No dissimilarity features
0.3214374780654907,0.6311821937561035,36,03_ablate_dissimilarity_features,No dissimilarity features
0.2935771942138672,0.6247661709785461,37,03_ablate_dissimilarity_features,No dissimilarity features
0.2840770781040191,0.6274268627166748,38,03_ablate_dissimilarity_features,No dissimilarity features
0.2712703049182892,0.604779064655304,39,03_ablate_dissimilarity_features,No dissimilarity features
0.2789681255817413,0.6097318530082703,40,03_ablate_dissimilarity_features,No dissimilarity features
3.901276826858521,3.3292107582092285,1,04_ablate_local_spatial_features,No local spatial features
3.0233676433563232,2.886405229568481,2,04_ablate_local_spatial_features,No local spatial features
2.7714874744415283,2.4058995246887207,3,04_ablate_local_spatial_features,No local spatial features
