n_areas,n_edges,mean_degree,median_degree,degree_q90,median_edge_dissimilarity,scale_m,covariate_moran_i,median_log_exposure,source,application,configuration
213.0,618.0,5.802816901408451,6.0,8.0,0.9685687769942709,0.7156406411436957,-0.027807123291880037,5.596197185104229,training,,30.0
287.0,843.0,5.874564459930314,6.0,8.0,0.9690736946880629,0.7152677699945863,-0.010237330994896387,5.472018388358529,training,,31.0
180.0,522.0,5.8,6.0,8.0,1.0547350767522214,0.6571765705321087,-0.017232610264729466,5.614684006061227,training,,32.0
185.0,536.0,5.794594594594595,6.0,8.0,0.9478115669527103,0.731313274418531,-0.08681926874164668,4.9327420293657385,training,,33.0
67.0,188.0,5.611940298507463,6.0,8.0,0.8018667441173888,0.8644169192013186,0.08182758640534159,5.431385078630485,training,,34.0
126.0,362.0,5.746031746031746,6.0,8.0,0.9450289440189951,0.7334666149082657,-0.0042149404653443814,5.54230946517157,training,,35.0
57.0,159.0,5.578947368421052,5.0,7.0,0.8597760084736192,0.8061950714239002,-0.024898343285422647,5.392701820649407,training,,36.0
76.0,213.0,5.605263157894737,6.0,7.0,1.076622528667627,0.6438163442648268,-0.08027438801110905,6.286156521690881,training,,37.0
113.0,328.0,5.8053097345132745,6.0,7.799999999999997,0.9558454577248704,0.7251665789256281,-0.014223869074509857,5.670167369453564,training,,38.0
235.0,685.0,5.829787234042553,6.0,8.0,0.9226106108626936,0.7512889754344069,0.03181306059304462,4.770386312411015,training,,39.0
91.0,261.0,5.736263736263736,6.0,8.0,1.0227911493084287,0.6777015826042533,-0.00800934931169316,4.725606280720459,training,,40.0
136.0,392.0,5.764705882352941,6.0,7.0,0.9791393127143421,0.7079147691848083,0.018640409522363444,6.024198533927045,training,,41.0
106.0,301.0,5.679245283018868,6.0,7.0,0.96181837044822,0.7206632789067332,-0.010161030285845772,5.260437120823374,training,,42.0
174.0,508.0,5.839080459770115,6.0,7.0,1.0137133541331558,0.683770394987711,-0.08094841643210907,5.658342660846729,training,,43.0
251.0,737.0,5.872509960159363,6.0,8.0,0.9458010490944946,0.7328678491354615,-0.015220853514955725,6.146160666580348,training,,44.0
112.0,319.0,5.696428571428571,6.0,7.0,0.8201651253641187,0.8451312536023977,-0.032925565193803574,5.3071704135230675,training,,45.0
205.0,600.0,5.853658536585366,6.0,7.0,1.0383864562791199,0.6675233256062676,-0.07839270189140031,5.430981453392427,training,,46.0
199.0,583.0,5.85929648241206,6.0,7.200000000000017,1.0077593781429515,0.6878102011188844,0.0068527090182505775,5.359199599262747,training,,47.0
154.0,446.0,5.792207792207792,6.0,7.0,0.993491683265668,0.6976879547511944,0.014877689120303525,5.474807939740557,training,,48.0
257.0,754.0,5.867704280155642,6.0,8.0,0.9287648244913245,0.7463107584200073,0.024250861725977745,5.99188072192918,training,,49.0
205.0,599.0,5.84390243902439,6.0,7.599999999999994,0.9750733253913324,0.7108667240812481,-0.0058165775135986175,5.7322956311069095,training,,50.0
295.0,862.0,5.84406779661017,6.0,7.600000000000023,0.9190114873815869,0.7542312474622426,-0.031285450765805384,5.434543502880005,training,,51.0
169.0,491.0,5.810650887573964,6.0,7.200000000000017,0.9958407916974585,0.6960421649111628,0.043315257376139796,5.692211233722603,training,,52.0
185.0,537.0,5.805405405405406,6.0,8.0,0.9811806592186634,0.7064419524044779,0.029515289962732432,5.0548391278446045,training,,53.0
81.0,230.0,5.679012345679013,6.0,7.0,0.9861796872342363,0.7028609385617063,-0.0395918441254208,4.461504680200472,training,,54.0
